BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Prob,Score,CCCD,Tên,HDV
1,9000,84532.0,104000.0,DebtCon,ProfExe,3.0,0.0,0.0,50.666666667,1.0,3.0,,0.7180426439232409,575,977704798009,Đặng Văn Sơn,925358
0,17700,72911.0,97317.0,DebtCon,Mgr,1.0,0.0,0.0,82.39838379,0.0,17.0,25.329250867,0.0116419282109459,769,293252971791,Hoàng Quốc Linh,778300
0,43700,,48535.0,DebtCon,Other,,6.0,,95.719805446,,19.0,26.981182976,0.0103059266171634,774,927841273825,Huỳnh Quốc Linh,719046
0,22400,98238.0,135561.0,DebtCon,ProfExe,,0.0,0.0,194.28209915,0.0,20.0,29.37360717,0.0041907026849811,806,914554493114,Huỳnh Minh Linh,340700
0,11300,46120.0,52911.0,HomeImp,Mgr,19.0,0.0,0.0,229.44157776,1.0,17.0,36.334814357,0.014858415060376,760,381980696522,Lê Thùy Linh,524169
0,23100,71680.0,101492.0,DebtCon,Mgr,1.0,,,230.36161621,5.0,24.0,39.872708847,0.0180205875987691,753,528475204144,Phạm Minh Hùng,494564
0,12600,49986.0,67896.0,DebtCon,Mgr,3.0,0.0,0.0,190.1599072,1.0,17.0,29.266317175,0.0052559723510865,798,953847050402,Lê Hồng Sơn,236088
0,40400,63131.0,109395.0,DebtCon,Mgr,14.0,0.0,0.0,198.44841872,0.0,21.0,39.55593621,0.0041703150662442,806,744391424185,Lê Văn Lan,300421
1,28000,86600.0,127000.0,DebtCon,ProfExe,6.5,0.0,4.0,234.36666667,5.0,35.0,,0.7217582417582418,575,989200413039,Lê Xuân Tú,466104
0,10300,57676.0,71027.0,DebtCon,,19.0,0.0,0.0,157.51963708,1.0,11.0,33.992366066,0.0243930159603594,742,464190986293,Phạm Xuân Lan,617649
1,33200,36705.0,78040.0,DebtCon,Mgr,19.0,2.0,0.0,120.09014303,0.0,13.0,35.015748716,0.9187138173000976,521,759605927440,Đặng Quốc Cường,207304
1,9000,52311.0,68994.0,DebtCon,Office,0.0,0.0,1.0,137.78400363,0.0,9.0,28.454712858,0.6282723446497271,590,147571497940,Lê Xuân Thảo,770819
0,22200,64809.0,96831.0,HomeImp,ProfExe,17.0,0.0,0.0,639.05817227,0.0,24.0,22.614181908,0.0006043797892795,850,978747483946,Hoàng Xuân Sơn,089715
0,18000,45000.0,68500.0,DebtCon,ProfExe,10.0,0.0,0.0,190.8,1.0,42.0,,0.0882819885534759,693,713727040890,Huỳnh Văn Hà,718921
1,4700,26900.0,45000.0,HomeImp,ProfExe,9.0,1.0,2.0,90.466666667,1.0,16.0,,0.6901360544217687,580,689981872711,Hoàng Đức Mai,286422
0,22000,15774.0,60115.0,DebtCon,Other,27.0,0.0,1.0,213.41423807,0.0,24.0,25.576809652,0.0100448947361831,774,544367219610,Trần Quốc Phương,673940
0,10900,25061.0,35792.0,DebtCon,Other,3.0,,,,,,37.10471224,0.1344803848008953,676,982437163914,Nguyễn Hồng Thảo,521201
0,27600,73846.0,100216.0,DebtCon,ProfExe,12.0,0.0,0.0,282.37066144,1.0,33.0,38.191251339,0.0035813908630544,812,600730355136,Phan Hồng Sơn,198007
0,24400,237543.0,261393.0,HomeImp,Self,3.0,1.0,0.0,254.51744803,2.0,50.0,37.90658567,0.0261478148784614,739,856904123928,Vũ Thùy Cường,935034
0,33200,119049.0,175867.0,DebtCon,ProfExe,17.0,0.0,0.0,112.46778525,0.0,16.0,28.51781662,0.005473013983559,797,253440909733,Phạm Thị Sơn,962768
0,8200,,33540.0,HomeImp,Office,21.0,0.0,0.0,178.68792754,0.0,15.0,36.601698856,0.0387628874343547,725,636128701726,Phạm Văn Vân,447387
1,10400,42714.0,72322.0,DebtCon,Other,12.0,0.0,0.0,105.07480159,6.0,15.0,41.262353472,0.7833773859559083,563,154676343606,Hoàng Thu Anh,098149
0,10000,32000.0,59000.0,DebtCon,Office,24.0,0.0,1.0,232.33333333,1.0,29.0,,0.0575063769106362,710,614654971726,Hoàng Quốc Bình,283591
0,23300,88825.0,104609.0,HomeImp,,8.0,,,,,,28.013238842,0.0090804262710765,778,711844498572,Lê Xuân Linh,038014
1,38700,,60000.0,DebtCon,Other,0.0,0.0,0.0,235.36666667,1.0,15.0,,0.3052220203510181,639,831222815289,Nguyễn Văn Dũng,403327
0,13700,35825.0,66612.0,DebtCon,Office,22.0,0.0,0.0,231.9014789,2.0,29.0,26.702473442,0.0006411291054828,850,529689250963,Vũ Minh Anh,724398
0,22000,48041.0,88433.0,DebtCon,Other,12.0,0.0,0.0,96.336434623,0.0,10.0,5.2266736193,0.0093035189600547,777,99210934708,Lê Văn Hùng,221306
0,12700,29471.0,48362.0,HomeImp,Other,9.0,0.0,0.0,79.902871414,0.0,4.0,36.020607901,0.1815119270731231,663,872626234831,Vũ Thu Cường,496788
0,13300,61414.0,72101.0,,Other,12.0,0.0,0.0,260.07164985,0.0,27.0,27.286882027,0.0053217365913358,798,669256120196,Phạm Xuân Dũng,717090
0,13600,90519.0,110885.0,DebtCon,Other,12.0,0.0,0.0,201.83559082,3.0,16.0,39.666054406,0.0041351404939387,807,196546112738,Đặng Hồng Thảo,859150
1,13300,60014.0,75695.0,DebtCon,Sales,1.0,0.0,,182.0643734,1.0,20.0,40.206671113,0.7099878956200807,577,376824620072,Lê Quốc Mai,261753
1,20600,52946.0,83558.0,DebtCon,Other,0.0,0.0,0.0,65.882879392,0.0,10.0,65.143593455,0.7328943396472417,572,825735158975,Phạm Hải Mai,137966
1,24200,39808.0,,DebtCon,Self,3.0,1.0,0.0,184.72511268,0.0,16.0,51.630380591,0.6972830913742827,579,747307105946,Bùi Đức Hà,231854
0,10000,80000.0,107900.0,HomeImp,ProfExe,12.0,0.0,2.0,176.53333333,0.0,28.0,,0.1492769443723738,672,375347122585,Đặng Minh Cường,496936
0,14100,81894.0,98285.0,DebtCon,Mgr,6.0,0.0,0.0,151.4710746,1.0,26.0,42.282137884,0.0377200247420983,726,66260786757,Đặng Văn Phương,271154
0,20500,67852.0,97944.0,HomeImp,Office,14.0,0.0,0.0,141.00534478,0.0,14.0,36.609389404,0.0052535203218428,798,570731681473,Trần Xuân Vân,666038
